gene	coef
DOC2A	0.162132267134869
CYP4F2	-0.191137747764548
PCP4	-0.642423416133452
PRND	-0.495789059440696
OLIG1	0.0508381547415814
NKAIN4	1.03900675707168
SPTBN2	0.290096685327527
LTF	-0.00991201792518442
PADI3	0.337195498594365
RALYL	1.77143242975072
SOST	-0.862418061800485
SLC22A8	-0.0663902596038521
DCAF12L1	-0.51059180623332
CXCL6	0.148251752309013
EGF	0.382399114234655
CWH43	-0.1002875420329
DES	-0.307361682942801
TNNI1	-0.0392132323997406
GRIK5	0.561457453226146
CRABP1	-0.359177958820692
APOB	-0.60419338706477
DUSP9	0.524670729922887
FGG	-0.0911065409547965
SLC15A1	-0.106819384646789
MAGED4B	0.154406176622662
CASR	-0.0779178811568566
SAA1	0.958955656681888
GDA	-0.400297200306557
DPP6	-1.02452149801838
ATP6V0D2	-1.00549786799359
GBA3	-0.793476842800601
SERPINA3	0.830539133881234
ANGPTL3	-1.15284786413304
